epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,105.904,0.85921,0.66878,1.0313,0.86865,0.9375,0.92072,0.66703,0.71517,0.70259,0.96045,0.0015083,0.0015083,0.0015083
151,106.588,0.80875,0.65292,1.04872,0.86865,0.9375,0.92072,0.66703,0.71517,0.70259,0.96045,0.001505,0.001505,0.001505
152,107.299,0.87787,0.69449,1.06497,0.92729,0.9375,0.94946,0.73002,0.72154,0.65351,0.96619,0.0015017,0.0015017,0.0015017
153,107.983,0.83295,0.63742,0.95516,0.92729,0.9375,0.94946,0.73002,0.72154,0.65351,0.96619,0.0014984,0.0014984,0.0014984
154,108.703,0.74696,0.61105,1.00962,0.93022,1,0.96559,0.71805,0.84454,0.68921,1.01524,0.0014951,0.0014951,0.0014951
155,109.379,0.82558,0.61663,1.01957,0.93022,1,0.96559,0.71805,0.84454,0.68921,1.01524,0.0014918,0.0014918,0.0014918
156,110.103,0.87656,0.62426,1.00322,0.91497,1,0.96971,0.75916,0.76795,0.63892,0.97895,0.0014885,0.0014885,0.0014885
157,110.782,0.83086,0.63473,1.0302,0.91497,1,0.96971,0.75916,0.76795,0.63892,0.97895,0.0014852,0.0014852,0.0014852
158,111.503,0.88725,0.67981,1.08326,0.91374,1,0.98029,0.80934,0.65037,0.58165,0.93176,0.0014819,0.0014819,0.0014819
159,112.174,0.77021,0.63657,1.01264,0.91374,1,0.98029,0.80934,0.65037,0.58165,0.93176,0.0014786,0.0014786,0.0014786
160,112.895,0.91842,0.65329,1.02888,0.87644,1,0.98083,0.79304,0.70996,0.58694,0.97812,0.0014753,0.0014753,0.0014753
161,113.58,0.86093,0.64211,1.02811,0.87644,1,0.98083,0.79304,0.70996,0.58694,0.97812,0.001472,0.001472,0.001472
162,114.282,0.82165,0.61091,1.01767,0.93999,0.97978,0.98441,0.77001,0.79245,0.58029,1.05527,0.0014687,0.0014687,0.0014687
163,114.979,0.86387,0.65062,1.06926,0.93999,0.97978,0.98441,0.77001,0.79245,0.58029,1.05527,0.0014654,0.0014654,0.0014654
164,115.694,0.82515,0.64338,1.02023,0.93693,0.9375,0.96521,0.76871,0.74902,0.59388,1.01531,0.0014621,0.0014621,0.0014621
165,116.353,0.80148,0.58087,0.97245,0.93693,0.9375,0.96521,0.76871,0.74902,0.59388,1.01531,0.0014588,0.0014588,0.0014588
166,117.046,0.85716,0.63501,1.0088,0.94114,0.99939,0.95088,0.7445,0.72521,0.59351,0.96656,0.0014555,0.0014555,0.0014555
167,117.726,0.84092,0.62248,1.04575,0.94114,0.99939,0.95088,0.7445,0.72521,0.59351,0.96656,0.0014522,0.0014522,0.0014522
168,118.439,0.81378,0.61313,1.01194,0.89263,1,0.94382,0.76504,0.70308,0.59222,0.94625,0.0014489,0.0014489,0.0014489
169,119.124,0.89835,0.6519,1.07822,0.89263,1,0.94382,0.76504,0.70308,0.59222,0.94625,0.0014456,0.0014456,0.0014456
170,119.842,0.79703,0.67097,1.01908,0.91583,1,0.94029,0.77008,0.65022,0.58835,0.92875,0.0014423,0.0014423,0.0014423
171,120.51,0.88102,0.62933,1.02791,0.91583,1,0.94029,0.77008,0.65022,0.58835,0.92875,0.001439,0.001439,0.001439
172,121.206,0.81223,0.61036,1.02874,0.93541,1,0.94029,0.76164,0.6617,0.5566,0.94904,0.0014357,0.0014357,0.0014357
173,121.881,0.80888,0.59633,0.96432,0.93541,1,0.94029,0.76164,0.6617,0.5566,0.94904,0.0014324,0.0014324,0.0014324
174,122.615,0.80557,0.63071,0.99781,0.92744,1,0.95088,0.77232,0.70546,0.56656,0.96933,0.0014291,0.0014291,0.0014291
175,123.305,0.80218,0.61268,1.00584,0.92744,1,0.95088,0.77232,0.70546,0.56656,0.96933,0.0014258,0.0014258,0.0014258
176,124.022,0.81329,0.58669,1.01221,0.93197,1,0.97324,0.80056,0.69366,0.54612,0.94055,0.0014225,0.0014225,0.0014225
177,124.716,0.7102,0.60402,0.99417,0.93197,1,0.97324,0.80056,0.69366,0.54612,0.94055,0.0014192,0.0014192,0.0014192
178,125.422,0.84246,0.6264,1.06216,0.93879,1,0.98441,0.8312,0.67918,0.47866,0.92743,0.0014159,0.0014159,0.0014159
179,126.095,0.74934,0.57745,0.97665,0.93879,1,0.98441,0.8312,0.67918,0.47866,0.92743,0.0014126,0.0014126,0.0014126
180,126.826,0.77866,0.56424,0.94821,0.94005,0.98084,0.98441,0.84423,0.64947,0.47539,0.91647,0.0014093,0.0014093,0.0014093
181,127.499,0.87312,0.63154,1.06253,0.94005,0.98084,0.98441,0.84423,0.64947,0.47539,0.91647,0.001406,0.001406,0.001406
182,128.222,0.81242,0.60221,1.02542,0.93068,1,0.98794,0.85189,0.59059,0.47443,0.90086,0.0014027,0.0014027,0.0014027
183,128.878,0.79304,0.60814,1.0017,0.93068,1,0.98794,0.85189,0.59059,0.47443,0.90086,0.0013994,0.0013994,0.0013994
184,129.58,0.79631,0.57435,1.01961,0.92797,1,0.99147,0.86745,0.57331,0.4682,0.89554,0.0013961,0.0013961,0.0013961
185,130.247,0.83535,0.6336,1.00942,0.92797,1,0.99147,0.86745,0.57331,0.4682,0.89554,0.0013928,0.0013928,0.0013928
